Date,Category,Variable,Units,Year,Value
2/15/2023 0:00,Potential GDP and Its Components,Potential GDP,"Percentage change, annual rate",2021,6.312
2/15/2023 0:00,Potential GDP and Its Components,Potential GDP,"Percentage change, annual rate",2022,8.935
2/15/2023 0:00,Potential GDP and Its Components,Potential GDP,"Percentage change, annual rate",2023,5.589
2/15/2023 0:00,Potential GDP and Its Components,Potential GDP,"Percentage change, annual rate",2024,4.219
2/15/2023 0:00,Potential GDP and Its Components,Potential GDP,"Percentage change, annual rate",2025,3.901
2/15/2023 0:00,Potential GDP and Its Components,Potential GDP,"Percentage change, annual rate",2026,3.915
2/15/2023 0:00,Potential GDP and Its Components,Potential GDP,"Percentage change, annual rate",2027,3.9
2/15/2023 0:00,Potential GDP and Its Components,Potential GDP,"Percentage change, annual rate",2028,3.938
2/15/2023 0:00,Potential GDP and Its Components,Potential GDP,"Percentage change, annual rate",2029,3.941
2/15/2023 0:00,Potential GDP and Its Components,Potential GDP,"Percentage change, annual rate",2030,3.896
2/15/2023 0:00,Potential GDP and Its Components,Potential GDP,"Percentage change, annual rate",2031,3.844
2/15/2023 0:00,Potential GDP and Its Components,Potential GDP,"Percentage change, annual rate",2032,3.782
2/15/2023 0:00,Potential GDP and Its Components,Potential GDP,"Percentage change, annual rate",2033,3.717
2/15/2023 0:00,Potential GDP and Its Components,Real Potential GDP,Billions of chained (2012) dollars,2020,19524.1
2/15/2023 0:00,Potential GDP and Its Components,Real Potential GDP,Billions of chained (2012) dollars,2021,19865.3
2/15/2023 0:00,Potential GDP and Its Components,Real Potential GDP,Billions of chained (2012) dollars,2022,20224.3
2/15/2023 0:00,Potential GDP and Its Components,Real Potential GDP,Billions of chained (2012) dollars,2023,20583.9
2/15/2023 0:00,Potential GDP and Its Components,Real Potential GDP,Billions of chained (2012) dollars,2024,20928.8
2/15/2023 0:00,Potential GDP and Its Components,Real Potential GDP,Billions of chained (2012) dollars,2025,21292.1
2/15/2023 0:00,Potential GDP and Its Components,Real Potential GDP,Billions of chained (2012) dollars,2026,21677.5
2/15/2023 0:00,Potential GDP and Its Components,Real Potential GDP,Billions of chained (2012) dollars,2027,22080.2
2/15/2023 0:00,Potential GDP and Its Components,Real Potential GDP,Billions of chained (2012) dollars,2028,22497
2/15/2023 0:00,Potential GDP and Its Components,Real Potential GDP,Billions of chained (2012) dollars,2029,22923.1
2/15/2023 0:00,Potential GDP and Its Components,Real Potential GDP,Billions of chained (2012) dollars,2030,23348.5
2/15/2023 0:00,Potential GDP and Its Components,Real Potential GDP,Billions of chained (2012) dollars,2031,23772.8
2/15/2023 0:00,Potential GDP and Its Components,Real Potential GDP,Billions of chained (2012) dollars,2032,24196.5
2/15/2023 0:00,Potential GDP and Its Components,Real Potential GDP,Billions of chained (2012) dollars,2033,24619.2
2/15/2023 0:00,Potential GDP and Its Components,Real Potential GDP,"Percentage change, annual rate",2020,1.885
2/15/2023 0:00,Potential GDP and Its Components,Real Potential GDP,"Percentage change, annual rate",2021,1.747
2/15/2023 0:00,Potential GDP and Its Components,Real Potential GDP,"Percentage change, annual rate",2022,1.806
2/15/2023 0:00,Potential GDP and Its Components,Real Potential GDP,"Percentage change, annual rate",2023,1.778
2/15/2023 0:00,Potential GDP and Its Components,Real Potential GDP,"Percentage change, annual rate",2024,1.675
2/15/2023 0:00,Potential GDP and Its Components,Real Potential GDP,"Percentage change, annual rate",2025,1.735
2/15/2023 0:00,Potential GDP and Its Components,Real Potential GDP,"Percentage change, annual rate",2026,1.81
2/15/2023 0:00,Potential GDP and Its Components,Real Potential GDP,"Percentage change, annual rate",2027,1.857
2/15/2023 0:00,Potential GDP and Its Components,Real Potential GDP,"Percentage change, annual rate",2028,1.887
2/15/2023 0:00,Potential GDP and Its Components,Real Potential GDP,"Percentage change, annual rate",2029,1.894
2/15/2023 0:00,Potential GDP and Its Components,Real Potential GDP,"Percentage change, annual rate",2030,1.855
2/15/2023 0:00,Potential GDP and Its Components,Real Potential GDP,"Percentage change, annual rate",2031,1.817
2/15/2023 0:00,Potential GDP and Its Components,Real Potential GDP,"Percentage change, annual rate",2032,1.782
2/15/2023 0:00,Potential GDP and Its Components,Real Potential GDP,"Percentage change, annual rate",2033,1.746
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force,Millions,2020,165.065
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force,Millions,2021,165.441
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force,Millions,2022,165.747
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force,Millions,2023,166.135
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force,Millions,2024,166.732
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force,Millions,2025,167.527
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force,Millions,2026,168.38
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force,Millions,2027,169.212
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force,Millions,2028,170.001
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force,Millions,2029,170.736
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force,Millions,2030,171.414
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force,Millions,2031,172.055
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force,Millions,2032,172.68
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force,Millions,2033,173.291
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force,"Percentage change, annual rate",2020,0.317
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force,"Percentage change, annual rate",2021,0.227
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force,"Percentage change, annual rate",2022,0.184
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force,"Percentage change, annual rate",2023,0.233
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force,"Percentage change, annual rate",2024,0.359
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force,"Percentage change, annual rate",2025,0.476
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force,"Percentage change, annual rate",2026,0.508
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force,"Percentage change, annual rate",2027,0.494
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force,"Percentage change, annual rate",2028,0.466
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force,"Percentage change, annual rate",2029,0.432
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force,"Percentage change, annual rate",2030,0.397
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force,"Percentage change, annual rate",2031,0.373
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force,"Percentage change, annual rate",2032,0.363
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force,"Percentage change, annual rate",2033,0.353
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Productivity ,Ratio of potential GDP to potential labor force,2020,118.28
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Productivity ,Ratio of potential GDP to potential labor force,2021,120.074
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Productivity ,Ratio of potential GDP to potential labor force,2022,122.018
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Productivity ,Ratio of potential GDP to potential labor force,2023,123.897
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Productivity ,Ratio of potential GDP to potential labor force,2024,125.522
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Productivity ,Ratio of potential GDP to potential labor force,2025,127.095
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Productivity ,Ratio of potential GDP to potential labor force,2026,128.74
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Productivity ,Ratio of potential GDP to potential labor force,2027,130.487
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Productivity ,Ratio of potential GDP to potential labor force,2028,132.333
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Productivity ,Ratio of potential GDP to potential labor force,2029,134.259
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Productivity ,Ratio of potential GDP to potential labor force,2030,136.209
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Productivity ,Ratio of potential GDP to potential labor force,2031,138.168
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Productivity ,Ratio of potential GDP to potential labor force,2032,140.122
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Productivity ,Ratio of potential GDP to potential labor force,2033,142.067
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Productivity ,"Percentage change, annual rate",2020,1.562
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Productivity ,"Percentage change, annual rate",2021,1.516
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Productivity ,"Percentage change, annual rate",2022,1.618
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Productivity ,"Percentage change, annual rate",2023,1.54
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Productivity ,"Percentage change, annual rate",2024,1.311
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Productivity ,"Percentage change, annual rate",2025,1.252
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Productivity ,"Percentage change, annual rate",2026,1.294
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Productivity ,"Percentage change, annual rate",2027,1.356
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Productivity ,"Percentage change, annual rate",2028,1.414
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Productivity ,"Percentage change, annual rate",2029,1.455
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Productivity ,"Percentage change, annual rate",2030,1.452
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Productivity ,"Percentage change, annual rate",2031,1.438
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Productivity ,"Percentage change, annual rate",2032,1.414
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Productivity ,"Percentage change, annual rate",2033,1.388
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Participation Rate,Percent,2020,63.242
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Participation Rate,Percent,2021,63.041
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Participation Rate,Percent,2022,62.788
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Participation Rate,Percent,2023,62.519
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Participation Rate,Percent,2024,62.283
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Participation Rate,Percent,2025,62.119
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Participation Rate,Percent,2026,62.012
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Participation Rate,Percent,2027,61.934
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Participation Rate,Percent,2028,61.861
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Participation Rate,Percent,2029,61.778
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Participation Rate,Percent,2030,61.677
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Participation Rate,Percent,2031,61.565
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Participation Rate,Percent,2032,61.457
2/15/2023 0:00,Potential GDP and Its Components,Potential Labor Force Participation Rate,Percent,2033,61.364
2/15/2023 0:00,Potential GDP and Its Components,Noncyclical Rate of Unemployment,Percent,2020,4.496
2/15/2023 0:00,Potential GDP and Its Components,Noncyclical Rate of Unemployment,Percent,2021,4.46
2/15/2023 0:00,Potential GDP and Its Components,Noncyclical Rate of Unemployment,Percent,2022,4.438
2/15/2023 0:00,Potential GDP and Its Components,Noncyclical Rate of Unemployment,Percent,2023,4.423
2/15/2023 0:00,Potential GDP and Its Components,Noncyclical Rate of Unemployment,Percent,2024,4.411
2/15/2023 0:00,Potential GDP and Its Components,Noncyclical Rate of Unemployment,Percent,2025,4.399
2/15/2023 0:00,Potential GDP and Its Components,Noncyclical Rate of Unemployment,Percent,2026,4.385
2/15/2023 0:00,Potential GDP and Its Components,Noncyclical Rate of Unemployment,Percent,2027,4.368
2/15/2023 0:00,Potential GDP and Its Components,Noncyclical Rate of Unemployment,Percent,2028,4.348
2/15/2023 0:00,Potential GDP and Its Components,Noncyclical Rate of Unemployment,Percent,2029,4.326
2/15/2023 0:00,Potential GDP and Its Components,Noncyclical Rate of Unemployment,Percent,2030,4.303
2/15/2023 0:00,Potential GDP and Its Components,Noncyclical Rate of Unemployment,Percent,2031,4.28
2/15/2023 0:00,Potential GDP and Its Components,Noncyclical Rate of Unemployment,Percent,2032,4.258
2/15/2023 0:00,Potential GDP and Its Components,Noncyclical Rate of Unemployment,Percent,2033,4.236
2/15/2023 0:00,Potential GDP and Its Components,Output Gap,Percentage of Potential GDP,2020,-5.198
2/15/2023 0:00,Potential GDP and Its Components,Output Gap,Percentage of Potential GDP,2021,-1.286
2/15/2023 0:00,Potential GDP and Its Components,Output Gap,Percentage of Potential GDP,2022,-1.185
2/15/2023 0:00,Potential GDP and Its Components,Output Gap,Percentage of Potential GDP,2023,-2.665
2/15/2023 0:00,Potential GDP and Its Components,Output Gap,Percentage of Potential GDP,2024,-2.535
2/15/2023 0:00,Potential GDP and Its Components,Output Gap,Percentage of Potential GDP,2025,-1.587
2/15/2023 0:00,Potential GDP and Its Components,Output Gap,Percentage of Potential GDP,2026,-0.992
2/15/2023 0:00,Potential GDP and Its Components,Output Gap,Percentage of Potential GDP,2027,-0.581
2/15/2023 0:00,Potential GDP and Its Components,Output Gap,Percentage of Potential GDP,2028,-0.5
2/15/2023 0:00,Potential GDP and Its Components,Output Gap,Percentage of Potential GDP,2029,-0.499
2/15/2023 0:00,Potential GDP and Its Components,Output Gap,Percentage of Potential GDP,2030,-0.5
2/15/2023 0:00,Potential GDP and Its Components,Output Gap,Percentage of Potential GDP,2031,-0.5
